Chr,gene_symbol,tissue,fold_change,p_value,regulation,detecting_method,pubMed_ID
3,ROBO1,prefrontal cortex,-0.29,0.00258,DOWN,RNA-Seq,26793951
-,RP11-192H23.4,prefrontal cortex,0.45,0.000235,UP,RNA-Seq,26793951
-,RP11-514O12.4,prefrontal cortex,0.94,0.0000503,UP,RNA-Seq,26793951
-,RP11-676J12.7,prefrontal cortex,0.71,0.00289,UP,RNA-Seq,26793951
-,RP11-9B6.1,prefrontal cortex,-0.7,0.00284,DOWN,RNA-Seq,26793951
X,RP2,prefrontal cortex,0.26,0.000422,UP,Microarray,26793951
1,RPE65,prefrontal cortex,-0.73,0.00206,DOWN,RNA-Seq,26793951
12,RPH3A,prefrontal cortex,-0.19,0.000000286,DOWN,microarray transcriptomics,26793951
19,RPL10P16,prefrontal cortex,-0.07,0.0039,DOWN,microarray transcriptomics,26793951
12,RPLP0,prefrontal cortex,-0.08,0.00158,DOWN,microarray transcriptomics,26793951
11,RPLP2,prefrontal cortex,-0.14,0.00253,DOWN,microarray transcriptomics,26793951
5,RPS14,prefrontal cortex,-0.08,0.00182,DOWN,microarray transcriptomics,26793951
8,RPS20,prefrontal cortex,-0.07,0.00481,DOWN,microarray transcriptomics,26793951
4,RPS3A,prefrontal cortex,-0.05,0.00499,DOWN,microarray transcriptomics,26793951
9,RPS6,prefrontal cortex,-0.07,0.00509,DOWN,microarray transcriptomics,26793951
17,RPS6KB1,prefrontal cortex,-0.09,0.00108,DOWN,microarray transcriptomics,26793951
14,RPS6KL1,prefrontal cortex,-0.46,0.000243,DOWN,Microarray,26793951
16,RRAD,prefrontal cortex,0.78,0.000415,UP,RNA-Seq,26793951
1,RRAGC,prefrontal cortex,0.21,0.000345,UP,Microarray,26793951
17,RSAD1,prefrontal cortex,0.28,0.000187,UP,RNA-Seq,26793951
16,RSL1D1,prefrontal cortex,0.36,0.00000727,UP,Microarray,26793951
16,RSPRY1,prefrontal cortex,-0.21,0.00211,DOWN,RNA-Seq,26793951
3,RTP4,prefrontal cortex,-0.45,0.00243,DOWN,RNA-Seq,26793951
18,RTTN,prefrontal cortex,-0.37,0.00193,DOWN,RNA-Seq,26793951
5,RUFY1,prefrontal cortex,0.21,0.00205,UP,RNA-Seq,26793951
10,RUFY2,prefrontal cortex,-0.34,0.0000949,DOWN,RNA-Seq,26793951
5,RXFP3,prefrontal cortex,-0.81,0.00075,DOWN,RNA-Seq,26793951
1,S100A1,prefrontal cortex,-0.21,0.00614,DOWN,microarray transcriptomics,26793951
1,S100A12,prefrontal cortex,1.1,0.00000332,UP,RNA-Seq,26793951
1,S100A7,prefrontal cortex,0.77,0.000398,UP,RNA-Seq,26793951
-,S81524,prefrontal cortex,-0.81,0.0000821,DOWN,Microarray,26793951
19,SAFB2,prefrontal cortex,0.4,0.0000328,UP,RNA-Seq,26793951
18,SALL3,prefrontal cortex,0.49,0.00274,UP,RNA-Seq,26793951
19,SAMD1,prefrontal cortex,0.35,0.0026,UP,RNA-Seq,26793951
1,SAMD13,prefrontal cortex,-0.51,0.00035,DOWN,RNA-Seq,26793951
2,SAP130,prefrontal cortex,0.15,0.000372,UP,Microarray,26793951
6,SASH1,prefrontal cortex,0.36,0.00284,UP,RNA-Seq,26793951
19,SBNO2,prefrontal cortex,0.48,0.000669,UP,RNA-Seq,26793951
11,SC5D,prefrontal cortex,-0.34,0.00107,DOWN,RNA-Seq,26793951
6,SCAF8,prefrontal cortex,-0.25,0.000228,DOWN,RNA-Seq,26793951
4,SCFD2,prefrontal cortex,-0.22,0.00199,DOWN,RNA-Seq,26793951
4,SCLT1,prefrontal cortex,-0.47,0.00000408,DOWN,RNA-Seq,26793951
3,SCN11A,prefrontal cortex,-0.5,0.000878,DOWN,RNA-Seq,26793951
2,SCN1A,prefrontal cortex,-0.21,0.0038,DOWN,microarray transcriptomics,26793951
2,SCN3A,prefrontal cortex,0.41,0.0000265,UP,Microarray,26793951
11,SCN3B,prefrontal cortex,0.22,0.000103,UP,microarray transcriptomics,26793951
12,SCN8A,prefrontal cortex,-0.69,0.000444,DOWN,RNA-Seq,26793951
22,SCO2,prefrontal cortex,0.29,0.00264,UP,RNA-Seq,26793951
2,SCRN3,prefrontal cortex,-0.38,0.00000994,DOWN,RNA-Seq,26793951
11,SCT,prefrontal cortex,0.97,0.0000315,UP,RNA-Seq,26793951
1,SCYL3,prefrontal cortex,-0.34,0.000836,DOWN,RNA-Seq,26793951
9,SDCCAG3,prefrontal cortex,0.25,0.0021,UP,RNA-Seq,26793951
1,SEC22B,prefrontal cortex,-0.21,0.000368,DOWN,Microarray,26793951
3,SEMA3F,prefrontal cortex,0.71,0.0000541,UP,RNA-Seq,26793951
5,SEMA5A,prefrontal cortex,-0.3,0.00262,DOWN,RNA-Seq,26793951
1,SEMA6C,prefrontal cortex,-0.32,0.000557,DOWN,Microarray,26793951
15,SEMA6D,prefrontal cortex,-0.29,0.00146,DOWN,RNA-Seq,26793951
6,SENP6,prefrontal cortex,-0.29,0.000301,DOWN,RNA-Seq,26793951
6,SENP6,prefrontal cortex,0.36,0.000688,UP,Microarray,26793951
2,10-Sep,prefrontal cortex,0.09,0.00378,UP,microarray transcriptomics,26793951
17,4-Sep,prefrontal cortex,-0.09,0.00258,DOWN,microarray transcriptomics,26793951
1,SERPINC1,prefrontal cortex,0.66,0.00207,UP,RNA-Seq,26793951
13,SERPINE3,prefrontal cortex,-0.45,0.00239,DOWN,RNA-Seq,26793951
17,SERPINF2,prefrontal cortex,0.71,0.0000406,UP,RNA-Seq,26793951
11,SERPINH1,prefrontal cortex,1.29,3.9E-09,UP,RNA-Seq,26793951
19,SERTAD1,prefrontal cortex,0.54,0.000669,UP,RNA-Seq,26793951
1,SERTAD4,prefrontal cortex,-0.37,0.00258,DOWN,RNA-Seq,26793951
1,SESN2,prefrontal cortex,0.48,0.0000567,UP,RNA-Seq,26793951
2,SESTD1,prefrontal cortex,-0.31,0.00235,DOWN,RNA-Seq,26793951
13,SETDB2,prefrontal cortex,0.26,0.0000414,UP,Microarray,26793951
1,SFPQ,prefrontal cortex,-0.22,0.00285,DOWN,RNA-Seq,26793951
4,SFRP2,prefrontal cortex,0.93,0.000495,UP,Microarray,26793951
4,SFRP2,prefrontal cortex,0.58,0.000874,UP,Microarray,26793951
10,SFTPA2,prefrontal cortex,-0.66,0.001,DOWN,RNA-Seq,26793951
5,SFXN1,prefrontal cortex,-0.11,0.00413,DOWN,microarray transcriptomics,26793951
10,SFXN2,prefrontal cortex,-0.38,0.00133,DOWN,RNA-Seq,26793951
19,SGTA,prefrontal cortex,0.09,0.00195,UP,microarray transcriptomics,26793951
2,SH2D6,prefrontal cortex,0.52,0.00306,UP,RNA-Seq,26793951
4,SH3TC1,prefrontal cortex,0.6,0.000511,UP,RNA-Seq,26793951
9,SHC3,prefrontal cortex,-0.67,0.0013,DOWN,RNA-Seq,26793951
4,SHISA3,prefrontal cortex,0.69,0.000504,UP,RNA-Seq,26793951
X,SHROOM2,prefrontal cortex,-0.14,0.000048,DOWN,microarray transcriptomics,26793951
19,SIGLEC8,prefrontal cortex,0.71,0.000235,UP,RNA-Seq,26793951
11,SIPA1,prefrontal cortex,0.47,0.000369,UP,RNA-Seq,26793951
10,SIRT1,prefrontal cortex,0.3,0.000894,UP,Microarray,26793951
12,SIRT4,prefrontal cortex,0.35,0.000372,UP,Microarray,26793951
12,SIRT4,prefrontal cortex,0.42,0.000477,UP,RNA-Seq,26793951
17,SIRT7,prefrontal cortex,0.44,0.0000713,UP,RNA-Seq,26793951
14,SIX1,prefrontal cortex,0.81,0.000462,UP,RNA-Seq,26793951
2,SIX2,prefrontal cortex,0.73,0.00211,UP,RNA-Seq,26793951
14,SIX4,prefrontal cortex,0.56,0.000657,UP,RNA-Seq,26793951
19,SIX5,prefrontal cortex,0.57,0.000628,UP,RNA-Seq,26793951
4,SLAIN2,prefrontal cortex,0.26,0.000808,UP,Microarray,26793951
2,SLC11A1,prefrontal cortex,0.7,0.00181,UP,RNA-Seq,26793951
5,SLC12A7,prefrontal cortex,0.52,0.0000962,UP,RNA-Seq,26793951
10,SLC16A12,prefrontal cortex,0.74,0.00188,UP,RNA-Seq,26793951
20,SLC17A9,prefrontal cortex,0.59,0.0000834,UP,RNA-Seq,26793951
2,SLC19A3,prefrontal cortex,0.48,0.000936,UP,RNA-Seq,26793951
1,SLC1A7,prefrontal cortex,0.98,0.0000304,UP,RNA-Seq,26793951
8,SLC20A2,prefrontal cortex,-0.24,0.0015,DOWN,RNA-Seq,26793951
6,SLC22A2,prefrontal cortex,0.77,0.000896,UP,RNA-Seq,26793951
6,SLC22A23,prefrontal cortex,-0.09,0.00268,DOWN,microarray transcriptomics,26793951
16,SLC22A31,prefrontal cortex,-0.73,0.000296,DOWN,RNA-Seq,26793951
15,SLC24A1,prefrontal cortex,-0.25,0.00201,DOWN,RNA-Seq,26793951
9,SLC25A25,prefrontal cortex,-0.11,0.000161,DOWN,microarray transcriptomics,26793951
19,SLC25A41,prefrontal cortex,0.48,0.00151,UP,RNA-Seq,26793951
19,SLC25A42,prefrontal cortex,0.22,0.00248,UP,RNA-Seq,26793951
5,SLC25A48,prefrontal cortex,0.71,0.0000521,UP,RNA-Seq,26793951
X,SLC25A5,prefrontal cortex,-0.16,0.00000112,DOWN,microarray transcriptomics,26793951
3,SLC26A6,prefrontal cortex,0.47,0.00033,UP,RNA-Seq,26793951
19,SLC27A1,prefrontal cortex,-0.46,0.000108,DOWN,Microarray,26793951
12,SLC2A13,prefrontal cortex,0.14,0.00327,UP,microarray transcriptomics,26793951
4,SLC30A9,prefrontal cortex,-0.32,0.00292,DOWN,RNA-Seq,26793951
6,SLC35D3,prefrontal cortex,-0.86,0.00031,DOWN,RNA-Seq,26793951
12,SLC35E3,prefrontal cortex,-0.31,0.000749,DOWN,RNA-Seq,26793951
12,SLC38A2,prefrontal cortex,0.48,0.000661,UP,RNA-Seq,26793951
14,SLC39A9,prefrontal cortex,-0.17,0.0000183,DOWN,RNA-Seq,26793951
11,SLC3A2,prefrontal cortex,0.46,0.00000413,UP,RNA-Seq,26793951
17,SLC43A2,prefrontal cortex,-0.17,0.00065,DOWN,microarray transcriptomics,26793951
11,SLC43A3,prefrontal cortex,0.53,0.000233,UP,RNA-Seq,26793951
20,SLC4A11,prefrontal cortex,0.65,0.0000133,UP,RNA-Seq,26793951
12,SLC4A8,prefrontal cortex,-0.66,0.00000197,DOWN,RNA-Seq,26793951
12,SLC4A8,prefrontal cortex,-0.19,0.000549,DOWN,microarray transcriptomics,26793951
20,SLC52A3,prefrontal cortex,0.64,0.00154,UP,RNA-Seq,26793951
21,SLC5A3,prefrontal cortex,0.69,0.0000121,UP,RNA-Seq,26793951
2,SLC5A7,prefrontal cortex,-0.81,0.000386,DOWN,RNA-Seq,26793951
12,SLC6A12,prefrontal cortex,0.75,2.86E-09,UP,RNA-Seq,26793951
12,SLC6A13,prefrontal cortex,0.53,0.000254,UP,RNA-Seq,26793951
3,SLC7A14,prefrontal cortex,-0.78,0.0000709,DOWN,RNA-Seq,26793951
8,SLC7A2,prefrontal cortex,0.59,0.00207,UP,RNA-Seq,26793951
16,SLC7A5,prefrontal cortex,0.42,0.000712,UP,RNA-Seq,26793951
19,SLC7A9,prefrontal cortex,0.94,0.000000481,UP,RNA-Seq,26793951
19,SLC8A2,prefrontal cortex,0.1,0.00464,UP,microarray transcriptomics,26793951
X,SLC9A7,prefrontal cortex,-0.77,0.0000858,DOWN,RNA-Seq,26793951
20,SLCO4A1,prefrontal cortex,0.93,0.00000571,UP,RNA-Seq,26793951
17,SLFN5,prefrontal cortex,-0.53,0.000117,DOWN,RNA-Seq,26793951
1,SLFNL1,prefrontal cortex,0.64,0.00045,UP,RNA-Seq,26793951
18,SLMO1,prefrontal cortex,0.25,0.00291,UP,RNA-Seq,26793951
20,SLPI,prefrontal cortex,0.87,0.000267,UP,RNA-Seq,26793951
5,SMAD5OS,prefrontal cortex,0.21,0.000979,UP,Microarray,26793951
7,SMARCD3,prefrontal cortex,0.29,0.00289,UP,RNA-Seq,26793951
11,SMCO4,prefrontal cortex,0.4,0.00113,UP,RNA-Seq,26793951
4,SMIM14,prefrontal cortex,-0.3,0.000677,DOWN,RNA-Seq,26793951
4,SMIM20,prefrontal cortex,-0.09,0.00359,DOWN,microarray transcriptomics,26793951
7,SMO,prefrontal cortex,0.48,0.00127,UP,RNA-Seq,26793951
20,SMOX,prefrontal cortex,0.54,0.0000276,UP,RNA-Seq,26793951
X,SMS,prefrontal cortex,0.09,0.0045,UP,microarray transcriptomics,26793951
22,SMTN,prefrontal cortex,0.83,0.00000627,UP,RNA-Seq,26793951
4,SNCA,prefrontal cortex,0.09,0.00485,UP,microarray transcriptomics,26793951
3,SNTN,prefrontal cortex,-0.72,0.00129,DOWN,RNA-Seq,26793951
3,SNX4,prefrontal cortex,-0.3,0.00055,DOWN,RNA-Seq,26793951
21,SON,prefrontal cortex,0.23,0.000415,UP,Microarray,26793951
20,SOX12,prefrontal cortex,0.32,0.00184,UP,RNA-Seq,26793951
10,SPAG6,prefrontal cortex,-0.73,0.000744,DOWN,RNA-Seq,26793951
2,SPAST,prefrontal cortex,0.34,0.000415,UP,Microarray,26793951
15,SPATA5L1,prefrontal cortex,0.28,0.000286,UP,Microarray,26793951
14,SPATA7,prefrontal cortex,-0.35,0.00143,DOWN,RNA-Seq,26793951
3,SPCS1,prefrontal cortex,-0.22,0.00262,DOWN,RNA-Seq,26793951
22,SPECC1L,prefrontal cortex,0.29,0.0000472,UP,RNA-Seq,26793951
15,SPG11,prefrontal cortex,-0.24,0.000376,DOWN,RNA-Seq,26793951
3,SPINK8,prefrontal cortex,0.85,0.000173,UP,RNA-Seq,26793951
2,SPR,prefrontal cortex,0.81,0.000000108,UP,RNA-Seq,26793951
1,SPRTN,prefrontal cortex,-0.29,0.000376,DOWN,RNA-Seq,26793951
2,SRBD1,prefrontal cortex,-0.37,0.000241,DOWN,RNA-Seq,26793951
7,SRCRB4D,prefrontal cortex,-0.26,0.00015,DOWN,Microarray,26793951
15,SRP14,prefrontal cortex,-0.08,0.00602,DOWN,microarray transcriptomics,26793951
3,SST,prefrontal cortex,-0.64,0.0028,DOWN,RNA-Seq,26793951
1,SSU72,prefrontal cortex,0.23,0.00165,UP,RNA-Seq,26793951
3,STAC,prefrontal cortex,-0.72,0.00199,DOWN,RNA-Seq,26793951
10,STAM,prefrontal cortex,-0.23,0.00118,DOWN,RNA-Seq,26793951
11,STARD10,prefrontal cortex,0.5,0.0000121,UP,RNA-Seq,26793951
18,STARD6,prefrontal cortex,-0.8,0.000217,DOWN,RNA-Seq,26793951
5,STC2,prefrontal cortex,0.66,0.000755,UP,RNA-Seq,26793951
11,STIP1,prefrontal cortex,0.54,0.0000618,UP,RNA-Seq,26793951
7,STK31,prefrontal cortex,-0.62,0.000654,DOWN,RNA-Seq,26793951
6,STK38,prefrontal cortex,0.35,0.000331,UP,RNA-Seq,26793951
2,STRN,prefrontal cortex,-0.46,0.000945,DOWN,RNA-Seq,26793951
9,STX17,prefrontal cortex,-0.32,0.000331,DOWN,RNA-Seq,26793951
19,STXBP2,prefrontal cortex,0.56,0.00025,UP,RNA-Seq,26793951
3,STXBP5L,prefrontal cortex,-0.09,0.000513,DOWN,microarray transcriptomics,26793951
13,SUCLA2,prefrontal cortex,-0.14,0.000608,DOWN,microarray transcriptomics,26793951
2,SUCLG1,prefrontal cortex,-0.13,0.00593,DOWN,microarray transcriptomics,26793951
19,SUGP2,prefrontal cortex,-0.12,0.00553,DOWN,microarray transcriptomics,26793951
16,SULT1A4,prefrontal cortex,-0.25,0.000897,DOWN,Microarray,26793951
17,SUMO2,prefrontal cortex,-0.09,0.00524,DOWN,microarray transcriptomics,26793951
2,SUPT7L,prefrontal cortex,-0.11,0.00147,DOWN,RNA-Seq,26793951
5,SV2C,prefrontal cortex,-0.86,0.00019,DOWN,RNA-Seq,26793951
X,SYAP1,prefrontal cortex,-0.08,0.00212,DOWN,microarray transcriptomics,26793951
19,SYDE1,prefrontal cortex,0.43,0.0023,UP,RNA-Seq,26793951
9,SYK,prefrontal cortex,-0.18,0.00319,DOWN,microarray transcriptomics,26793951
X,SYN1,prefrontal cortex,0.15,0.00573,UP,microarray transcriptomics,26793951
6,SYNCRIP,prefrontal cortex,0.55,0.000142,UP,Microarray,26793951
14,SYNDIG1L,prefrontal cortex,-0.72,0.00108,DOWN,RNA-Seq,26793951
6,SYNJ2,prefrontal cortex,-0.15,0.00397,DOWN,microarray transcriptomics,26793951
20,SYS1-DBNDD2,prefrontal cortex,-0.64,0.00000332,DOWN,RNA-Seq,26793951
12,SYT1,prefrontal cortex,-0.32,0.000000269,DOWN,microarray transcriptomics,26793951
1,SYT11,prefrontal cortex,-0.34,0.00193,DOWN,RNA-Seq,26793951
11,SYT12,prefrontal cortex,-0.19,9.19E-08,DOWN,microarray transcriptomics,26793951
1,SYT2,prefrontal cortex,-0.41,0.00123,DOWN,microarray transcriptomics,26793951
X,SYTL4,prefrontal cortex,0.75,0.000228,UP,RNA-Seq,26793951
-,T33495,prefrontal cortex,-0.65,0.000144,DOWN,Microarray,26793951
-,T82292,prefrontal cortex,-0.6,0.000264,DOWN,Microarray,26793951
X,TAB3,prefrontal cortex,-0.25,0.003,DOWN,RNA-Seq,26793951
7,TAC1,prefrontal cortex,-0.68,0.00192,DOWN,RNA-Seq,26793951
10,TAF3,prefrontal cortex,0.36,0.0000453,UP,Microarray,26793951
1,TAL1,prefrontal cortex,0.58,0.0000521,UP,RNA-Seq,26793951
1,TARBP1,prefrontal cortex,-0.48,0.000286,DOWN,RNA-Seq,26793951
1,TARDBP,prefrontal cortex,-0.15,0.0028,DOWN,microarray transcriptomics,26793951
1,TATDN3,prefrontal cortex,-0.29,0.000594,DOWN,RNA-Seq,26793951
19,TBCB,prefrontal cortex,0.13,0.0000611,UP,microarray transcriptomics,26793951
11,TBCEL,prefrontal cortex,-0.27,0.000519,DOWN,RNA-Seq,26793951
1,TBX15,prefrontal cortex,0.7,0.00115,UP,RNA-Seq,26793951
16,TBX6,prefrontal cortex,0.63,0.000399,UP,RNA-Seq,26793951
17,TCAP,prefrontal cortex,0.88,0.000000111,UP,RNA-Seq,26793951
X,TCEAL5,prefrontal cortex,-0.2,0.000959,DOWN,microarray transcriptomics,26793951
5,TCERG1,prefrontal cortex,-0.28,0.000494,DOWN,RNA-Seq,26793951
20,TCF15,prefrontal cortex,0.72,0.0000799,UP,RNA-Seq,26793951
2,TCF7L1,prefrontal cortex,0.49,0.000383,UP,RNA-Seq,26793951
11,TCIRG1,prefrontal cortex,0.53,0.000269,UP,RNA-Seq,26793951
6,TCP11,prefrontal cortex,-0.66,0.00176,DOWN,RNA-Seq,26793951
11,TCP11L1,prefrontal cortex,-0.43,0.00202,DOWN,RNA-Seq,26793951
14,TDP1,prefrontal cortex,-0.24,0.00156,DOWN,RNA-Seq,26793951
19,TEAD2,prefrontal cortex,0.61,0.000712,UP,RNA-Seq,26793951
11,TECTA,prefrontal cortex,-0.34,0.000342,DOWN,RNA-Seq,26793951
12,TESC,prefrontal cortex,-0.21,0.0000713,DOWN,microarray transcriptomics,26793951
5,TEX43,prefrontal cortex,1.08,0.00000248,UP,RNA-Seq,26793951
10,TFAM,prefrontal cortex,0.38,0.000227,UP,Microarray,26793951
20,TFAP2C,prefrontal cortex,0.77,0.0000479,UP,RNA-Seq,26793951
12,TFCP2,prefrontal cortex,-0.22,0.0000476,DOWN,RNA-Seq,26793951
22,TFIP11,prefrontal cortex,0.15,0.00306,UP,RNA-Seq,26793951
8,TG,prefrontal cortex,0.51,0.00243,UP,RNA-Seq,26793951
19,TGFB1,prefrontal cortex,0.45,0.00121,UP,RNA-Seq,26793951
18,TGIF1,prefrontal cortex,0.52,0.00219,UP,RNA-Seq,26793951
12,THAP2,prefrontal cortex,0.44,0.0000866,UP,Microarray,26793951
2,THAP4,prefrontal cortex,0.2,0.00229,UP,RNA-Seq,26793951
-,THC2489591,prefrontal cortex,-0.37,0.00011,DOWN,Microarray,26793951
-,THC2515611,prefrontal cortex,-0.44,0.000294,DOWN,Microarray,26793951
-,THC2521188,prefrontal cortex,-0.41,0.00054,DOWN,Microarray,26793951
-,THC2530075,prefrontal cortex,0.47,0.0000653,UP,Microarray,26793951
-,THC2537502,prefrontal cortex,-0.43,0.000129,DOWN,Microarray,26793951
-,THC2544025,prefrontal cortex,-0.41,0.000367,DOWN,Microarray,26793951
-,THC2552443,prefrontal cortex,-0.47,0.000257,DOWN,Microarray,26793951
-,THC2559181,prefrontal cortex,-0.3,0.000196,DOWN,Microarray,26793951
-,THC2567636,prefrontal cortex,-0.51,0.000909,DOWN,Microarray,26793951
-,THC2572908,prefrontal cortex,-0.27,0.000579,DOWN,Microarray,26793951
-,THC2575761,prefrontal cortex,-0.42,0.00000132,DOWN,Microarray,26793951
-,THC2579654,prefrontal cortex,-0.41,0.000185,DOWN,Microarray,26793951
-,THC2587433,prefrontal cortex,-0.51,0.00023,DOWN,Microarray,26793951
-,THC2587763,prefrontal cortex,-0.73,0.000395,DOWN,Microarray,26793951
-,THC2587773,prefrontal cortex,-0.48,0.0000195,DOWN,Microarray,26793951
-,THC2597502,prefrontal cortex,-0.35,0.000418,DOWN,Microarray,26793951
-,THC2603717,prefrontal cortex,-0.28,0.000612,DOWN,Microarray,26793951
-,THC2608658,prefrontal cortex,0.24,0.000806,UP,Microarray,26793951
-,THC2612889,prefrontal cortex,-0.41,0.00013,DOWN,Microarray,26793951
-,THC2632909,prefrontal cortex,0.47,0.0000446,UP,Microarray,26793951
-,THC2651747,prefrontal cortex,0.32,0.000616,UP,Microarray,26793951
-,THC2683169,prefrontal cortex,-0.29,0.000794,DOWN,Microarray,26793951
-,THC2693923,prefrontal cortex,0.38,0.000373,UP,Microarray,26793951
-,THC2765813,prefrontal cortex,-0.52,0.000593,DOWN,Microarray,26793951
-,THC2787314,prefrontal cortex,0.18,0.000483,UP,Microarray,26793951
1,THRAP3,prefrontal cortex,-0.26,0.0000602,DOWN,Microarray,26793951
19,TICAM1,prefrontal cortex,0.21,0.000211,UP,Microarray,26793951
4,TIFA,prefrontal cortex,0.54,0.000999,UP,Microarray,26793951
11,TIMM10B,prefrontal cortex,-0.23,0.000331,DOWN,RNA-Seq,26793951
19,TJP3,prefrontal cortex,0.56,0.000986,UP,RNA-Seq,26793951
9,TLE1,prefrontal cortex,0.27,0.00286,UP,RNA-Seq,26793951
15,TLE3,prefrontal cortex,0.33,0.000972,UP,RNA-Seq,26793951
1,TLR5,prefrontal cortex,0.68,0.0000402,UP,RNA-Seq,26793951
17,TMC8,prefrontal cortex,0.49,0.00185,UP,RNA-Seq,26793951
7,TMED4,prefrontal cortex,-0.24,0.000511,DOWN,RNA-Seq,26793951
1,TMED5,prefrontal cortex,0.41,0.00022,UP,Microarray,26793951
9,TMEFF1,prefrontal cortex,-0.6,0.00268,DOWN,RNA-Seq,26793951
17,TMEM100,prefrontal cortex,0.48,0.00302,UP,RNA-Seq,26793951
4,TMEM128,prefrontal cortex,-0.38,0.000214,DOWN,RNA-Seq,26793951
7,TMEM168,prefrontal cortex,-0.32,0.00173,DOWN,RNA-Seq,26793951
7,TMEM176A,prefrontal cortex,0.49,0.00285,UP,RNA-Seq,26793951
2,TMEM18,prefrontal cortex,-0.28,0.00177,DOWN,RNA-Seq,26793951
2,TMEM194B,prefrontal cortex,-0.31,0.000797,DOWN,RNA-Seq,26793951
7,TMEM209,prefrontal cortex,-0.31,0.00234,DOWN,RNA-Seq,26793951
7,TMEM213,prefrontal cortex,0.65,0.00154,UP,RNA-Seq,26793951
11,TMEM216,prefrontal cortex,0.33,0.00244,UP,RNA-Seq,26793951
16,TMEM231,prefrontal cortex,-0.3,0.00106,DOWN,RNA-Seq,26793951
6,TMEM30A,prefrontal cortex,0.12,0.00109,UP,microarray transcriptomics,26793951
X,TMEM47,prefrontal cortex,0.58,0.000787,UP,Microarray,26793951
14,TMEM55B,prefrontal cortex,0.1,0.000617,UP,microarray transcriptomics,26793951
8,TMEM71,prefrontal cortex,0.52,0.00198,UP,RNA-Seq,26793951
1,TMEM81,prefrontal cortex,0.42,0.0000903,UP,RNA-Seq,26793951
19,TMEM91,prefrontal cortex,0.31,0.00237,UP,RNA-Seq,26793951
17,TMEM92,prefrontal cortex,0.75,0.00138,UP,RNA-Seq,26793951
Y,TMSB4Y,prefrontal cortex,-0.54,0.000274,DOWN,RNA-Seq,26793951
11,TMX2,prefrontal cortex,-0.11,0.00472,DOWN,microarray transcriptomics,26793951
15,TNFAIP8L3,prefrontal cortex,-0.66,0.000585,DOWN,Microarray,26793951
8,TNFRSF10B,prefrontal cortex,0.4,0.00282,UP,RNA-Seq,26793951
8,TNFRSF10D,prefrontal cortex,0.95,0.00000594,UP,RNA-Seq,26793951
16,TNFRSF12A,prefrontal cortex,0.61,0.00241,UP,RNA-Seq,26793951
12,TNFRSF1A,prefrontal cortex,0.52,0.00125,UP,RNA-Seq,26793951
1,TNFRSF4,prefrontal cortex,0.57,0.00114,UP,RNA-Seq,26793951
19,TNFSF14,prefrontal cortex,0.82,0.000633,UP,RNA-Seq,26793951
4,TNIP2,prefrontal cortex,0.48,0.0000761,UP,RNA-Seq,26793951
1,TOR1AIP2,prefrontal cortex,0.23,0.0000694,UP,Microarray,26793951
9,TOR4A,prefrontal cortex,0.56,0.000157,UP,RNA-Seq,26793951
6,TPD52L1,prefrontal cortex,0.55,0.000615,UP,RNA-Seq,26793951
11,TPH1,prefrontal cortex,-0.64,0.000369,DOWN,RNA-Seq,26793951
19,TPM4,prefrontal cortex,-0.4,0.0004,DOWN,Microarray,26793951
13,TPP2,prefrontal cortex,-0.09,0.00506,DOWN,microarray transcriptomics,26793951
16,TPPP3,prefrontal cortex,0.25,0.000427,UP,microarray transcriptomics,26793951
22,TPST2,prefrontal cortex,0.43,0.000146,UP,RNA-Seq,26793951
22,TRABD,prefrontal cortex,0.33,0.00107,UP,RNA-Seq,26793951
9,TRAF2,prefrontal cortex,0.34,0.00234,UP,RNA-Seq,26793951
4,TRAM1L1,prefrontal cortex,-0.46,0.000868,DOWN,RNA-Seq,26793951
6,TRAM2,prefrontal cortex,0.36,0.00128,UP,RNA-Seq,26793951
19,TRAPPC5,prefrontal cortex,0.11,0.00289,UP,microarray transcriptomics,26793951
10,TRDMT1,prefrontal cortex,-0.38,0.00245,DOWN,RNA-Seq,26793951
1,TRIM45,prefrontal cortex,-0.36,0.00042,DOWN,RNA-Seq,26793951
17,TRIM47,prefrontal cortex,0.43,0.00267,UP,RNA-Seq,26793951
16,TRIM72,prefrontal cortex,-0.69,0.00303,DOWN,RNA-Seq,26793951
10,TRIM8,prefrontal cortex,0.37,0.00000453,UP,RNA-Seq,26793951
19,TRIP10,prefrontal cortex,0.69,0.000011,UP,RNA-Seq,26793951
6,TRMT11,prefrontal cortex,-0.31,0.00236,DOWN,RNA-Seq,26793951
3,TRPC1,prefrontal cortex,-0.36,0.000303,DOWN,RNA-Seq,26793951
X,TSC22D3,prefrontal cortex,0.37,0.0011,UP,RNA-Seq,26793951
2,TSN,prefrontal cortex,-0.15,0.0031,DOWN,RNA-Seq,26793951
1,TTC13,prefrontal cortex,-0.22,0.00303,DOWN,RNA-Seq,26793951
3,TTC14,prefrontal cortex,-0.36,0.000649,DOWN,RNA-Seq,26793951
2,TTC30A,prefrontal cortex,-0.44,0.000496,DOWN,RNA-Seq,26793951
22,TTC38,prefrontal cortex,0.41,0.00232,UP,RNA-Seq,26793951
1,TTF2,prefrontal cortex,-0.42,0.00268,DOWN,RNA-Seq,26793951
2,TTL,prefrontal cortex,-0.25,0.00197,DOWN,RNA-Seq,26793951
